step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
234,181940,468,0.010346301836297466,1.0,1.0,,,
235,182438,470,0.011124797693356645,1.0,1.0,,,
236,182680,472,0.009964135886018256,1.0,1.0,,,
237,183770,474,0.013639585291938006,1.0,1.0,,,
238,184252,476,0.010966014477059643,1.0,1.0,,,
239,184894,478,0.007814905092162995,1.0,1.0,,,
240,185376,480,0.0125968587562173,1.0,1.0,,,
241,185810,482,0.01019573809768771,1.0,1.0,0.05756300445332861,0.0,0.9473684210526315
242,186452,484,0.011565868944274457,0.5,0.9473684210526315,,,
243,186918,486,0.01508430316885755,0.5,0.9736842105263158,,,
244,187256,488,0.011545883966960803,1.0,1.0,,,
245,187738,490,0.012820636994264323,0.5,0.9736842105263158,,,
246,188412,492,0.010421802408859739,1.0,1.0,,,
247,189022,494,0.00832729497888027,1.0,1.0,,,
248,189552,496,0.00861042815440044,1.0,1.0,,,
249,193554,498,0.011343542433375079,1.0,1.0,0.01831876470758118,0.5,0.9736842105263158
250,194212,500,0.01025009566262272,1.0,1.0,,,
251,194790,502,0.009925795346681133,1.0,1.0,,,
252,195208,504,0.00826245939959812,1.0,1.0,,,
253,195610,506,0.013692218175322545,0.5,0.9736842105263158,,,
254,196060,508,0.012535649284130373,1.0,1.0,,,
255,196734,510,0.013466075564898018,1.0,1.0,,,
256,197200,512,0.009143315171376547,1.0,1.0,,,
257,197714,514,0.014484753046119023,1.0,1.0,0.010557727313485234,0.5,0.9736842105263158
258,198628,516,0.008595437988157003,1.0,1.0,,,
259,199318,518,0.014174170885913476,1.0,1.0,,,
260,200936,520,0.00865129068200875,1.0,1.0,,,
261,201706,522,0.008257239528670152,1.0,1.0,,,
262,202476,524,0.013524556545557667,1.0,1.0,,,
263,202862,526,0.010681729920846615,1.0,1.0,,,
264,203280,528,0.01049818307248902,1.0,1.0,,,
265,204082,530,0.011498090100770075,1.0,1.0,0.012821178027207945,1.0,1.0
266,204548,532,0.01093065548928422,1.0,1.0,,,
267,204870,534,0.009931515164796019,1.0,1.0,,,
268,205464,536,0.01120886525095427,0.5,0.8947368421052632,,,
269,206170,538,0.013055578432106286,1.0,1.0,,,
270,207292,540,0.010894658904208349,1.0,1.0,,,
271,208094,542,0.008111502767198152,1.0,1.0,,,
272,209296,544,0.011988754500096817,1.0,1.0,,,
273,211202,546,0.011496497951170607,1.0,1.0,0.018527906251273013,0.5,0.9736842105263158
274,212100,548,0.013037670031279949,1.0,1.0,,,
275,212406,550,0.011366800855354808,0.5,0.9736842105263158,,,
276,212888,552,0.010468892503204156,1.0,1.0,,,
277,213450,554,0.009216592166649943,1.0,1.0,,,
278,214620,556,0.010679064459012651,1.0,1.0,,,
279,215166,558,0.015052432175971533,1.0,1.0,,,
280,216224,560,0.009475082380086094,1.0,1.0,,,
281,216786,562,0.014137837757195654,1.0,1.0,0.014923073100709252,0.5,0.9736842105263158
282,217284,564,0.01258704539795785,1.0,1.0,,,
283,218262,566,0.00883996870253736,1.0,1.0,,,
284,218872,568,0.012532360006190717,1.0,1.0,,,
285,219210,570,0.008512331743268497,1.0,1.0,,,
286,219596,572,0.01324945972037287,1.0,1.0,,,
287,220494,574,0.009465082973511719,1.0,1.0,,,
288,221232,576,0.01523380804369637,1.0,1.0,,,
289,221810,578,0.009222986429084278,1.0,1.0,0.01178568722683091,1.0,1.0
290,222276,580,0.010598167831909127,1.0,1.0,,,
291,222790,582,0.012359658050757965,1.0,1.0,,,
292,223752,584,0.00955820718769316,0.5,0.9736842105263158,,,
293,224346,586,0.018734561385107342,1.0,1.0,,,
294,224700,588,0.012079688887943096,1.0,1.0,,,
295,225550,590,0.009405686174808846,1.0,1.0,,,
296,227616,592,0.00825177269711895,1.0,1.0,,,
297,228770,594,0.007861188980553968,1.0,1.0,0.008398579125134554,1.0,1.0
298,229492,596,0.012375662691426268,1.0,1.0,,,
299,229958,598,0.009731941150475317,1.0,1.0,,,
300,230312,600,0.013671184588317441,1.0,1.0,,,
301,230762,602,0.01043370502031484,1.0,1.0,,,
302,231148,604,0.04794066449669262,0.5,0.9736842105263158,,,
303,231582,606,0.011442346109937405,1.0,1.0,,,
304,232096,608,0.009701444109730879,1.0,1.0,,,
305,233138,610,0.007927045487697711,1.0,1.0,0.013495607952350984,1.0,1.0
306,233524,612,0.012746159408423904,1.0,1.0,,,
307,235190,614,0.008664139635055749,0.5,0.9736842105263158,,,
308,236408,616,0.010385633176267794,1.0,1.0,,,
309,237162,618,0.009854048667004796,1.0,1.0,,,
310,238012,620,0.011780899167614501,1.0,1.0,,,
311,238910,622,0.011808071057749087,1.0,1.0,,,
312,239424,624,0.010807485560482962,1.0,1.0,,,
313,240002,626,0.013954998285310672,1.0,1.0,0.03975254104274438,0.0,0.9473684210526315
314,240340,628,0.00862992324876321,1.0,1.0,,,
315,240726,630,0.01847692877888363,0.5,0.9210526315789473,,,
316,241384,632,0.010735073869302721,1.0,1.0,,,
317,242042,634,0.009278436257900044,1.0,1.0,,,
318,242972,636,0.007740196017829543,1.0,1.0,,,
319,244158,638,0.009161655857953527,1.0,1.0,,,
320,244448,640,0.009957416844663511,1.0,1.0,,,
321,244978,642,0.008692997008245247,1.0,1.0,0.02161606478953239,0.5,0.9736842105263158
322,245396,644,0.014083349040892498,1.0,1.0,,,
323,246038,646,0.012296701905776856,1.0,1.0,,,
324,246456,648,0.012875293610568012,1.0,1.0,,,
325,247722,650,0.00866211877111716,1.0,1.0,,,
326,250988,652,0.007243227849110906,1.0,1.0,,,
327,251854,654,0.01194953390773769,1.0,1.0,,,
328,252400,656,0.012019428354839013,1.0,1.0,,,
329,253490,658,0.011180381268536477,1.0,1.0,0.017477565064159064,0.5,0.9736842105263158
330,254404,660,0.009327398013700422,1.0,1.0,,,
331,254726,662,0.01133949870581713,1.0,1.0,,,
332,255656,664,0.010465383334681748,1.0,1.0,,,
333,256202,666,0.016007753737349455,1.0,1.0,,,
334,256764,668,0.013000530309574938,1.0,1.0,,,
335,257902,670,0.009931135281758957,1.0,1.0,,,
336,259856,672,0.009134937205955608,1.0,1.0,,,
337,260402,674,0.014316102423133014,1.0,1.0,0.0578569095765586,0.0,0.9473684210526315
338,260852,676,0.010974078866513233,1.0,1.0,,,
339,261798,678,0.007330832894732923,1.0,1.0,,,
340,262248,680,0.011221337040612515,1.0,1.0,,,
341,263130,682,0.006757977096939674,1.0,1.0,,,
342,263932,684,0.010356859463659622,1.0,1.0,,,
343,265038,686,0.009975717949077232,0.5,0.9736842105263158,,,
344,265424,688,0.011853825659468112,1.0,1.0,,,
345,266434,690,0.012088016257475189,1.0,1.0,0.020907011131222227,0.5,0.9736842105263158
346,267204,692,0.012810962987836816,1.0,1.0,,,
347,268086,694,0.007015539948754936,1.0,1.0,,,
348,269016,696,0.013747985163607129,1.0,1.0,,,
349,269274,698,0.013429293275072389,1.0,1.0,,,
350,270284,700,0.012607290682328505,1.0,1.0,,,
351,271582,702,0.01127884357833651,1.0,1.0,,,
352,272432,704,0.011171278519671157,1.0,1.0,,,
353,273186,706,0.010565572164379663,1.0,1.0,0.0397513204054752,0.0,0.9473684210526315
354,273780,708,0.00966717781466842,1.0,1.0,,,
355,274342,710,0.009916863146511736,1.0,1.0,,,
356,274984,712,0.009833932515772777,1.0,1.0,,,
357,275898,714,0.02408220360169864,0.5,0.9736842105263158,,,
358,276300,716,0.009665086313585015,0.5,0.9736842105263158,,,
359,277230,718,0.008055534840373158,1.0,1.0,,,
360,277792,720,0.01007974904241008,1.0,1.0,,,
361,278914,722,0.010359808962030101,1.0,1.0,0.02430492119027532,0.5,0.9736842105263158
362,279172,724,0.026121751989547044,0.5,0.9736842105263158,,,
363,280102,726,0.007630118398765347,1.0,1.0,,,
364,280888,728,0.010140841765544589,1.0,1.0,,,
365,281450,730,0.011158181401621583,1.0,1.0,,,
366,281884,732,0.012903526722892173,0.5,0.9736842105263158,,,
367,282526,734,0.012920493529437648,1.0,1.0,,,
368,282992,736,0.010077278469467717,1.0,1.0,,,
369,284002,738,0.009250898152603331,1.0,1.0,0.009371622457013857,0.5,0.9736842105263158
370,284292,740,0.009482640796328339,1.0,1.0,,,
371,285142,742,0.008909676223378092,1.0,1.0,,,
372,285752,744,0.010201015972704425,1.0,1.0,,,
373,286426,746,0.008704773449741802,1.0,1.0,,,
374,290412,748,0.010034556192203893,1.0,1.0,,,
375,291678,750,0.013746530306793766,0.5,0.9736842105263158,,,
376,292944,752,0.010263145252256281,1.0,1.0,,,
377,293634,754,0.009785631792618318,1.0,1.0,0.014433588982676738,0.5,0.9736842105263158
378,294324,756,0.008813305854788957,1.0,1.0,,,
379,295926,758,0.0073403929759409325,1.0,1.0,,,
380,296984,760,0.011877156357786084,1.0,1.0,,,
381,297514,762,0.009343911507611335,1.0,1.0,,,
382,298156,764,0.008807837768781187,1.0,1.0,,,
383,298670,766,0.010463545031094198,1.0,1.0,,,
384,299824,768,0.006160355271015692,1.0,1.0,,,
385,300210,770,0.010752923553969987,1.0,1.0,0.011278536730434748,1.0,1.0
386,300692,772,0.012019738067218781,1.0,1.0,,,
387,301670,774,0.009765887702122646,1.0,1.0,,,
388,302328,776,0.011088493928213592,1.0,1.0,,,
389,302762,778,0.011125098069341276,1.0,1.0,,,
390,303308,780,0.010720754284045751,1.0,1.0,,,
391,304062,782,0.006914384929047848,1.0,1.0,,,
392,304608,784,0.008227743550344325,1.0,1.0,,,
393,305234,786,0.008538596598426706,1.0,1.0,0.05007790256336982,0.0,0.9473684210526315
394,305940,788,0.011562113997095759,1.0,1.0,,,
395,306470,790,0.012953380264611191,1.0,1.0,,,
396,309080,792,0.007887365404676182,1.0,1.0,,,
397,309898,794,0.0105175713802902,1.0,1.0,,,
398,311276,796,0.008233352104126098,1.0,1.0,,,
399,312686,798,0.01173151843787605,1.0,1.0,,,
400,313760,800,0.00842400091948558,1.0,1.0,,,
401,314530,802,0.014240080855528574,1.0,1.0,0.024034636212734436,0.5,0.9736842105263158
402,315140,804,0.007947129675982318,1.0,1.0,,,
403,315734,806,0.010371146356944047,1.0,1.0,,,
404,316280,808,0.008198135212364137,1.0,1.0,,,
405,316954,810,0.011015393032824804,0.5,0.9736842105263158,,,
406,317484,812,0.012609893126044708,1.0,1.0,,,
407,318030,814,0.009466310003519135,1.0,1.0,,,
408,318336,816,0.009266926425623656,1.0,1.0,,,
409,319042,818,0.012662346180365087,1.0,1.0,0.015224013694015203,1.0,1.0
410,322276,820,0.008934572695477188,0.5,0.7631578947368421,,,
411,322710,822,0.007811722150773439,1.0,1.0,,,
412,323448,824,0.011424448433219105,1.0,1.0,,,
413,324570,826,0.013213563188046588,1.0,1.0,,,
414,325756,828,0.011566982650930719,1.0,1.0,,,
415,326254,830,0.010208157364996246,1.0,1.0,,,
416,326688,832,0.01056618835531826,1.0,1.0,,,
417,328274,834,0.012314135151726082,1.0,1.0,0.03360555639216756,0.0,0.9473684210526315
418,329540,836,0.00929273616056054,1.0,1.0,,,
419,330326,838,0.010989568782769474,1.0,1.0,,,
420,330632,840,0.027344930760334816,0.5,0.9736842105263158,,,
421,332554,842,0.010718112604496703,1.0,1.0,,,
422,333388,844,0.012415628940112009,1.0,1.0,,,
423,334942,846,0.008062627772663474,1.0,1.0,,,
424,335632,848,0.010104237645141312,1.0,1.0,,,
425,336402,850,0.009745143666186689,1.0,1.0,0.0171709566075307,0.5,0.9736842105263158
426,337060,852,0.0109069266440268,1.0,1.0,,,
427,337622,854,0.013566987172893133,1.0,1.0,,,
428,338520,856,0.007840028144924556,0.5,0.9736842105263158,,,
429,338922,858,0.011543812772633751,1.0,1.0,,,
430,339356,860,0.014329793267912687,1.0,1.0,,,
431,341614,862,0.009042007092172698,1.0,1.0,,,
432,342112,864,0.010425953429108657,0.5,0.9736842105263158,,,
433,342514,866,0.01278785418819042,1.0,1.0,0.012498092994679806,0.5,0.9736842105263158
434,342916,868,0.009932692324117242,1.0,1.0,,,
435,344310,870,0.012201795404505163,1.0,1.0,,,
436,345784,872,0.012076687622601563,1.0,1.0,,,
437,346906,874,0.007886005768338877,1.0,1.0,,,
438,347180,876,0.009722094308801527,1.0,1.0,,,
439,347886,878,0.011768469272299003,1.0,1.0,,,
440,348528,880,0.008694670988237096,1.0,1.0,,,
441,349234,882,0.01209461617418746,1.0,1.0,0.03882006218936965,0.0,0.9473684210526315
442,349812,884,0.013617726281950114,1.0,1.0,,,
443,350278,886,0.011636419157139961,1.0,1.0,,,
444,350632,888,0.011420628235963192,1.0,1.0,,,
445,351098,890,0.00943341577499869,1.0,1.0,,,
446,351548,892,0.00857814019012806,1.0,1.0,,,
447,351886,894,0.012731900137395386,0.5,0.9736842105263158,,,
448,352608,896,0.013616696564545144,1.0,1.0,,,
449,354786,898,0.007746940817121378,1.0,1.0,0.02530212213410136,0.0,0.9473684210526315
450,355396,900,0.01130559468896733,1.0,1.0,,,
451,356102,902,0.009711349664367137,1.0,1.0,,,
452,356680,904,0.012895871512755574,1.0,1.0,,,
453,357978,906,0.0077804578060180355,1.0,1.0,,,
454,359676,908,0.010655945115803178,0.5,0.9736842105263158,,,
455,361710,910,0.00813906926841638,1.0,1.0,,,
456,363168,912,0.007469021277305199,1.0,1.0,,,
457,363906,914,0.012274448907943332,1.0,1.0,0.017652855211677407,0.5,0.9736842105263158
458,364420,916,0.010979708232409522,1.0,1.0,,,
459,365398,918,0.00995505243232009,1.0,1.0,,,
460,365752,920,0.009483038031214464,1.0,1.0,,,
461,366106,922,0.019025863397577236,0.5,0.9736842105263158,,,
462,366732,924,0.011181868451577948,1.0,1.0,,,
463,367326,926,0.009217056389617695,1.0,1.0,,,
